,模型,ζ,mae,mse,rmse,R2,mean_n,var_n
63,GRU+GRUCNN+LSTM+LSTMCNN+,20,2.381430920626353,19.245334561603944,4.3869504854287955,0.8984152765965883,-0.16797986269592263,19.217117327332602
64,GRU+GRUCNN+LSTM+LSTMCNN+,5,2.400339142895153,19.266908651975637,4.389408690470237,0.8979563633622525,-0.12068441425137173,19.25234392413244
65,GRU+GRUCNN+LSTM+LSTMCNN+,10,2.381060910576366,18.95405999420607,4.353626074228937,0.8996799369116986,-0.14725951331146633,18.93237462994534
66,GRU+GRUCNN+LSTM+LSTMCNN+,15,2.3845956160741446,19.40256053173671,4.404833768910776,0.8974489446698911,-0.1542417766237677,19.37877000608066
67,GRU+GRUCNN+LSTM+LSTMCNN+,20,2.381549558279389,19.245375650937625,4.386955168557986,0.8984150597103302,-0.1677864083121574,19.217223372123332
68,GRU+GRUCNN+LSTM+LSTMCNN+,5,2.4003332698686597,19.266739569996417,4.389389430205119,0.897957258873845,-0.12055479196433501,19.252206112130853
69,GRU+GRUCNN+LSTM+LSTMCNN+,10,2.381003422179238,18.952302638313824,4.353424242859157,0.8996892382462955,-0.14735724259509653,18.930588481368595
70,GRU+GRUCNN+LSTM+LSTMCNN+,15,2.384392452151641,19.39812659000319,4.404330436059855,0.8974723799996405,-0.15433867492931239,19.374306163424258
71,GRU+GRUCNN+LSTM+LSTMCNN+,20,2.38154068453246,19.245372909121794,4.386954856061525,0.8984150741827521,-0.1677042610171589,19.217248189958486
72,GRU+GRUCNN+LSTM+LSTMCNN+,5,2.400335969922783,19.26711322410343,4.3894319933339245,0.8979552798836181,-0.12051800144346117,19.252588635431504
73,GRU+GRUCNN+LSTM+LSTMCNN+,10,2.381044626565567,18.95319353193683,4.3535265626773,0.8996845229238531,-0.14736019651564647,18.9314785044197
74,GRU+GRUCNN+LSTM+LSTMCNN+,15,2.3843823441892886,19.398122624671405,4.404329985896993,0.8974724009581608,-0.1543225184400736,19.374307184973716
75,GRU+GRUCNN+LSTM+LSTMCNN+,20,2.38154068453246,19.245372909121794,4.386954856061525,0.8984150741827521,-0.1677042610171589,19.217248189958486
76,GRU+GRUCNN+LSTM+LSTMCNN+,5,2.4003341771917426,19.26705267520943,4.389425096206726,0.8979556005696945,-0.12050733155790316,19.252530658250226
77,GRU+GRUCNN+LSTM+LSTMCNN+,10,2.3810429894177805,18.953193182089,4.3535265224974795,0.8996845247755281,-0.1473585593678594,18.931478637070025
78,GRU+GRUCNN+LSTM+LSTMCNN+,15,2.3843493849851622,19.39762554002939,4.4042735541777365,0.8974750282688472,-0.1543554776442002,19.37379992655062
79,GRU+GRUCNN+LSTM+LSTMCNN+,20,2.38154068453246,19.245372909121794,4.386954856061525,0.8984150741827521,-0.1677042610171589,19.217248189958486
